method,training_seed,eval_seed,protocol,case_index,episode,start_idx,success,perturb_x,perturb_y
fast_lewm_cem,released,42,p03,38,7807,19,0,-0.0010629261378198862,-0.029892001301050186
fast_lewm_cem,released,42,p03,39,7848,105,0,-0.027465831488370895,0.012067644856870174
fast_lewm_cem,released,42,p03,40,8219,20,0,0.02999669872224331,-0.0004450683481991291
fast_lewm_cem,released,42,p03,41,8274,103,0,-0.012158630415797234,0.027425676584243774
fast_lewm_cem,released,42,p03,42,8396,18,0,-0.0033672915305942297,-0.029810423031449318
fast_lewm_cem,released,42,p03,43,8594,20,0,0.0024276678450405598,0.008247111923992634
fast_lewm_cem,released,42,p03,44,8598,18,0,-0.02244560793042183,-0.019904641434550285
fast_lewm_cem,released,42,p03,45,8878,18,0,-0.02117340825498104,-0.012902247719466686
fast_lewm_cem,released,42,p03,46,8929,19,0,0.00814406480640173,0.028873417526483536
fast_lewm_cem,released,42,p03,47,9275,109,0,-0.02666337415575981,-0.013750073499977589
fast_lewm_cem,released,42,p03,48,9710,16,0,-0.020854737609624863,0.021565712988376617
fast_lewm_cem,released,42,p03,49,9752,108,1,-0.006191198248416185,0.029354199767112732
fast_lewm_cem,released,42,p04,0,648,17,0,0.005998102482408285,-0.03954772651195526
fast_lewm_cem,released,42,p04,1,686,22,0,-0.023041468113660812,-0.032696954905986786
fast_lewm_cem,released,42,p04,2,868,18,0,0.028713591396808624,0.02784833312034607
fast_lewm_cem,released,42,p04,3,897,19,0,-0.035851091146469116,-0.01773976720869541
fast_lewm_cem,released,42,p04,4,923,17,0,0.03316834941506386,-0.02235756441950798
fast_lewm_cem,released,42,p04,5,941,107,0,-0.002059472491964698,-0.03994694724678993
fast_lewm_cem,released,42,p04,6,1264,22,0,-0.0213855542242527,0.0259397029876709
fast_lewm_cem,released,42,p04,7,1646,19,0,-0.026045547798275948,0.0007675719098187983
fast_lewm_cem,released,42,p04,8,1807,18,0,0.009318920783698559,-0.03889932855963707
fast_lewm_cem,released,42,p04,9,1990,19,0,0.03741253539919853,-0.01415281742811203
fast_lewm_cem,released,42,p04,10,2241,110,0,-0.024838142096996307,-0.026596004143357277
fast_lewm_cem,released,42,p04,11,2747,21,0,0.03990228474140167,0.002794241067022085
fast_lewm_cem,released,42,p04,12,3527,18,0,0.006889160722494125,0.039402276277542114
fast_lewm_cem,released,42,p04,13,3682,105,0,0.01976422220468521,-0.034776076674461365
fast_lewm_cem,released,42,p04,14,3996,15,0,-0.005977701395750046,-0.039550814777612686
fast_lewm_cem,released,42,p04,15,4317,19,0,-0.016077902168035507,-0.036626506596803665
fast_lewm_cem,released,42,p04,16,4372,18,0,-0.01449377927929163,0.03728177025914192
fast_lewm_cem,released,42,p04,17,4414,17,0,-0.013247262686491013,-0.02095288224518299
fast_lewm_cem,released,42,p04,18,4442,19,0,-0.017999058589339256,0.03572161868214607
fast_lewm_cem,released,42,p04,19,4497,18,0,-0.01824342831969261,0.02839525230228901
fast_lewm_cem,released,42,p04,20,4498,18,0,-0.030929159373044968,-0.025365076959133148
fast_lewm_cem,released,42,p04,21,4995,21,0,-0.03718371316790581,-0.01474352739751339
fast_lewm_cem,released,42,p04,22,5126,19,0,0.03750528767704964,-0.013905156403779984
fast_lewm_cem,released,42,p04,23,5251,20,0,0.0382397323846817,0.011735543608665466
fast_lewm_cem,released,42,p04,24,5436,105,0,0.035494670271873474,-0.01844257116317749
fast_lewm_cem,released,42,p04,25,5531,109,0,-0.03434385359287262,0.02050609141588211
fast_lewm_cem,released,42,p04,26,6312,18,0,-0.03980718553066254,0.003922755364328623
fast_lewm_cem,released,42,p04,27,6434,20,0,-0.035007085651159286,-0.019352106377482414
fast_lewm_cem,released,42,p04,28,6533,105,0,-0.00812631007283926,0.027246961370110512
fast_lewm_cem,released,42,p04,29,6781,20,0,-0.0008578849374316633,0.03999079763889313
fast_lewm_cem,released,42,p04,30,6967,19,0,0.002100243465974927,-0.034061312675476074
fast_lewm_cem,released,42,p04,31,7005,107,0,-0.0399571917951107,0.0018500672886148095
fast_lewm_cem,released,42,p04,32,7168,111,0,0.031510189175605774,-0.024639563634991646
fast_lewm_cem,released,42,p04,33,7340,18,0,0.009144226089119911,0.01147629413753748
fast_lewm_cem,released,42,p04,34,7567,19,0,0.013863899745047092,-0.03752055764198303
fast_lewm_cem,released,42,p04,35,7595,17,0,0.008954250253736973,-0.038984887301921844
fast_lewm_cem,released,42,p04,36,7728,15,0,-0.034913718700408936,0.019520046189427376
fast_lewm_cem,released,42,p04,37,7782,108,0,0.035004016011953354,-0.019357657060027122
fast_lewm_cem,released,42,p04,38,7807,19,0,-0.0010629261378198862,-0.03985600173473358
fast_lewm_cem,released,42,p04,39,7848,105,0,-0.036621108651161194,0.016090193763375282
fast_lewm_cem,released,42,p04,40,8219,20,0,0.039995599538087845,-0.0005934244836680591
fast_lewm_cem,released,42,p04,41,8274,103,0,-0.016211505979299545,0.0365675687789917
fast_lewm_cem,released,42,p04,42,8396,18,0,-0.004489722196012735,-0.03974723070859909
fast_lewm_cem,released,42,p04,43,8594,20,0,0.0024276678450405598,0.01099614892154932
fast_lewm_cem,released,42,p04,44,8598,18,0,-0.02992747724056244,-0.026539521291851997
fast_lewm_cem,released,42,p04,45,8878,18,0,-0.02117340825498104,-0.01720299758017063
fast_lewm_cem,released,42,p04,46,8929,19,0,0.010858752764761448,0.038497891277074814
fast_lewm_cem,released,42,p04,47,9275,109,0,-0.03109803795814514,-0.01833343133330345
fast_lewm_cem,released,42,p04,48,9710,16,0,-0.027806315571069717,0.028754282742738724
fast_lewm_cem,released,42,p04,49,9752,108,0,-0.00825493037700653,0.03913893178105354
subjepa_cem,released,42,original,0,638,29,0,0.0,0.0
subjepa_cem,released,42,original,1,679,34,1,0.0,0.0
subjepa_cem,released,42,original,2,859,76,1,0.0,0.0
subjepa_cem,released,42,original,3,892,85,1,0.0,0.0
subjepa_cem,released,42,original,4,921,61,1,0.0,0.0
subjepa_cem,released,42,original,5,941,132,1,0.0,0.0
subjepa_cem,released,42,original,6,1281,19,0,0.0,0.0
subjepa_cem,released,42,original,7,1652,49,0,0.0,0.0
subjepa_cem,released,42,original,8,1825,82,1,0.0,0.0
subjepa_cem,released,42,original,9,2014,114,1,0.0,0.0
subjepa_cem,released,42,original,10,2272,64,1,0.0,0.0
subjepa_cem,released,42,original,11,2767,102,0,0.0,0.0
subjepa_cem,released,42,original,12,3545,43,0,0.0,0.0
subjepa_cem,released,42,original,13,3707,162,1,0.0,0.0
subjepa_cem,released,42,original,14,4024,16,0,0.0,0.0
subjepa_cem,released,42,original,15,4330,7,1,0.0,0.0
subjepa_cem,released,42,original,16,4388,117,1,0.0,0.0
subjepa_cem,released,42,original,17,4434,16,0,0.0,0.0
subjepa_cem,released,42,original,18,4456,152,1,0.0,0.0
subjepa_cem,released,42,original,19,4503,137,1,0.0,0.0
subjepa_cem,released,42,original,20,4504,96,1,0.0,0.0
subjepa_cem,released,42,original,21,5003,76,1,0.0,0.0
subjepa_cem,released,42,original,22,5132,29,1,0.0,0.0
subjepa_cem,released,42,original,23,5264,118,1,0.0,0.0
subjepa_cem,released,42,original,24,5454,39,0,0.0,0.0
subjepa_cem,released,42,original,25,5545,140,1,0.0,0.0
subjepa_cem,released,42,original,26,6316,107,1,0.0,0.0
subjepa_cem,released,42,original,27,6438,99,0,0.0,0.0
subjepa_cem,released,42,original,28,6545,95,1,0.0,0.0
subjepa_cem,released,42,original,29,6779,32,1,0.0,0.0
subjepa_cem,released,42,original,30,6973,90,1,0.0,0.0
subjepa_cem,released,42,original,31,7005,35,0,0.0,0.0
subjepa_cem,released,42,original,32,7174,110,1,0.0,0.0
subjepa_cem,released,42,original,33,7357,64,1,0.0,0.0
subjepa_cem,released,42,original,34,7580,148,1,0.0,0.0
subjepa_cem,released,42,original,35,7611,42,1,0.0,0.0
subjepa_cem,released,42,original,36,7739,61,1,0.0,0.0
subjepa_cem,released,42,original,37,7783,146,1,0.0,0.0
subjepa_cem,released,42,original,38,7815,99,0,0.0,0.0
subjepa_cem,released,42,original,39,7860,86,1,0.0,0.0
